ID_Individu,Departement,Milieu,Genre,Tranche_Age,Age,Niveau_Education,Secteur_Activite,Revenu_Mensuel_HTG,Possede_Telephone,Possede_Smartphone,Acces_Internet,Acte_Naissance,CIN_Carte_Identite,NIF_Matricule_Fiscal,Titre_Propriete,Statut_Logement,Source_Energie,Implique_Agriculture,Niveau_Inclusion_Financiere,Compte_Bancaire,Credit_Formel,Montant_Credit_Formel_HTG,Credit_Informel,Epargne_Formelle,Membre_Tontine_Sol,Mobile_Money,Planification_Financiere,Controle_Depenses,Manque_Argent_Frequent,Raison_Principale_Manque_Argent,Besoin_Education_Financiere,Jamais_Eu_Credit_Formel,Poids_Sondage,Cluster,Profil,X_pca_PC1,X_pca_PC2,X_pca_PC3
HTI2018_0022,Aire Métropolitaine,Urbain,Femme,35-44,43,Secondaire,Commerce informel,2344,Oui,Non,Non,Oui,Oui,Non,Oui,Propriétaire,EDH/Connexion collective,Non,Informel seulement,Non,Non,0,Non,Non,Non,Non,Souvent,Contrôle avec d'autres,Oui,Revenu irrégulier,Comment investir,Oui,2.0839,5,Commerçants informels,0.5698792884918473,0.20610266474143935,1.636063048709048
HTI2018_0023,Nord-Ouest,Rural,Homme,25-34,26,Primaire,Commerce informel,5099,Non,Non,Non,Oui,Non,Non,Non,Propriétaire,Aucune source,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Oui,Non,Pas souvent,Contrôle total,Oui,Pas assez de revenu,Comment obtenir un prêt,Oui,2.2038,5,Commerçants informels,0.4089282576490724,-0.6705515280013007,1.9249589298379561
HTI2018_0024,Aire Métropolitaine,Urbain,Homme,35-44,44,Primaire,Emploi salarié formel,23900,Oui,Non,Non,Non,Oui,Non,Non,Propriétaire,EDH/Connexion collective,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Oui,Toujours,Contrôle total,Non,Sans objet,Comment épargner,Oui,2.5673,3,Salariés formels,2.881595554711649,0.3790286155454406,-1.5884338265627633
HTI2018_0025,Sud,Urbain,Homme,25-34,33,Secondaire,Services/Transport,7806,Oui,Oui,Non,Oui,Oui,Non,Non,Propriétaire,Connexion individuelle,Non,Exclus financièrement,Non,Non,0,Non,Non,Non,Non,Jamais,Contrôle total,Non,Sans objet,Comment investir,Oui,0.9737,1,Prestataires de services,0.7578895739798716,-0.8846348105795897,-0.3733701350336707
HTI2018_0026,Aire Métropolitaine,Rural,Femme,60+,64,Primaire,Agriculture/Élevage,860,Non,Non,Non,Oui,Non,Non,Non,Propriétaire,Aucune source,Oui,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Jamais,Aucun contrôle,Oui,Revenu irrégulier,Comment épargner,Oui,1.4544,0,Agriculteurs vulnérables,-1.888172866309961,-1.5344432000780681,-0.4401866154667552
HTI2018_0028,Nord-Ouest,Urbain,Femme,25-34,33,Secondaire,Sans activité/Ménage,339,Non,Non,Non,Oui,Non,Non,Non,Propriétaire,Connexion illégale,Non,Exclus financièrement,Non,Non,0,Oui,Non,Non,Non,Pas souvent,Aucun contrôle,Oui,Revenu irrégulier,Comment épargner,Oui,2.1198,4,Ménages sans revenus,-2.251074848273165,1.5039667811934376,0.2932832931630803
HTI2018_0029,Centre,Rural,Homme,35-44,44,Primaire,Services/Transport,4692,Non,Non,Non,Oui,Oui,Oui,Oui,Logement gratuit,Panneau solaire,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Jamais,Contrôle total,Oui,Revenu irrégulier,Ne sait pas/Aucun besoin,Oui,2.0356,1,Prestataires de services,0.6174455334095462,-0.3107016330882978,-0.5812831640647758
HTI2018_0030,Nord,Urbain,Homme,35-44,37,Secondaire,Artisanat/Production,2956,Oui,Non,Non,Oui,Non,Non,Oui,Propriétaire,Connexion illégale,Non,Exclus financièrement,Non,Non,0,Non,Non,Non,Non,Pas souvent,Contrôle avec d'autres,Non,Sans objet,Comment épargner,Oui,2.3857,2,Artisans,-0.07088343243874924,-0.8571246668601648,-0.25519956880348593
HTI2018_0031,Aire Métropolitaine,Rural,Femme,18-24,22,Non scolarisé,Commerce informel,5409,Oui,Non,Non,Oui,Non,Non,Non,Copropriétaire,Connexion illégale,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Oui,Non,Jamais,Contrôle total,Non,Sans objet,Comment épargner,Oui,1.5833,5,Commerçants informels,0.5353598941555285,-1.295927943340915,1.6267708903776967
HTI2018_0032,Artibonite,Rural,Homme,60+,66,Non scolarisé,Commerce informel,883,Non,Non,Non,Oui,Oui,Non,Non,Logement gratuit,Aucune source,Non,Exclus financièrement,Non,Non,0,Non,Non,Non,Non,Toujours,Contrôle total,Oui,Pas assez de revenu,Comment investir,Oui,2.1627,5,Commerçants informels,-0.49044964222676196,-0.3546025933018774,1.622508663777968
HTI2018_0034,Nord-Est,Urbain,Femme,35-44,39,Secondaire,Sans activité/Ménage,1534,Oui,Non,Non,Oui,Oui,Non,Non,Propriétaire,Connexion individuelle,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Jamais,Contrôle total,Oui,Pas assez de revenu,Comment obtenir un prêt,Oui,1.4654,4,Ménages sans revenus,-0.806978774391948,2.1511567307469046,-0.14262061256948605
HTI2018_0035,Nippes,Rural,Homme,35-44,36,Primaire,Commerce informel,3321,Non,Non,Non,Oui,Non,Oui,Non,Propriétaire,Panneau solaire,Non,Exclus financièrement,Non,Non,0,Non,Non,Non,Non,Jamais,Contrôle total,Non,Sans objet,Comment budgétiser,Oui,2.4613,5,Commerçants informels,-0.0047695007448134005,-1.2872730421653085,1.404420422320018
HTI2018_0036,Aire Métropolitaine,Urbain,Homme,45-60,58,Non scolarisé,Commerce informel,2276,Oui,Oui,Oui,Oui,Oui,Non,Non,Logement gratuit,Connexion illégale,Non,Exclus financièrement,Non,Non,0,Non,Non,Oui,Oui,Pas souvent,Contrôle total,Non,Sans objet,Comment budgétiser,Oui,1.6493,5,Commerçants informels,0.29812171548097427,-0.8287176906651257,1.9792376466556643
HTI2018_0037,Sud,Urbain,Homme,25-34,31,Secondaire,Services/Transport,4797,Oui,Non,Oui,Oui,Oui,Non,Non,Habitation avec propriétaire,Connexion individuelle,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Oui,Non,Jamais,Contrôle avec d'autres,Non,Sans objet,Comment épargner,Oui,2.1066,1,Prestataires de services,1.3024345113758045,-0.3730799795625142,-0.029182378805351007
HTI2018_0038,Aire Métropolitaine,Urbain,Homme,35-44,36,Secondaire,Artisanat/Production,3380,Oui,Oui,Non,Oui,Oui,Non,Non,Propriétaire,EDH/Connexion collective,Non,Informel seulement,Non,Non,0,Non,Non,Non,Non,Jamais,Contrôle total,Oui,Frais de scolarité,Comment épargner,Oui,1.6813,2,Artisans,0.1159952850468386,-0.09708377390780086,-0.27206451447447755
HTI2018_0039,Aire Métropolitaine,Rural,Homme,60+,79,Non scolarisé,Agriculture/Élevage,647,Oui,Oui,Oui,Oui,Non,Oui,Non,Propriétaire,EDH/Connexion collective,Oui,Exclus financièrement,Non,Non,0,Non,Non,Non,Non,Jamais,Ne sait pas,Oui,Revenu irrégulier,Comment épargner,Oui,3.3877,0,Agriculteurs vulnérables,-2.187431230238077,-1.6169645613317118,-1.1312925979335158
HTI2018_0040,Nord,Urbain,Homme,18-24,21,Primaire,Commerce informel,6871,Non,Non,Non,Oui,Oui,Non,Oui,Propriétaire,Connexion illégale,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Pas souvent,Contrôle total,Oui,Pas assez de revenu,Comment investir,Oui,2.8055,5,Commerçants informels,0.8723501520932088,-0.16044127939476055,1.327920671169597
HTI2018_0041,Nord,Urbain,Femme,60+,72,Secondaire,Emploi salarié formel,11346,Oui,Non,Non,Oui,Non,Non,Non,Locataire,Connexion illégale,Non,Autre formel (non-bancaire),Non,Non,0,Oui,Non,Non,Non,Pas souvent,Aucun contrôle,Oui,Revenu irrégulier,Comment investir,Oui,1.4386,3,Salariés formels,1.5429116623944612,-0.04846621588144629,-1.2204038874460217
HTI2018_0042,Aire Métropolitaine,Urbain,Homme,45-60,45,Secondaire,Commerce informel,9901,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Propriétaire,EDH/Connexion collective,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Souvent,Contrôle total,Non,Sans objet,Comment épargner,Oui,1.8269,5,Commerçants informels,1.7360019740557453,-0.05420242262911396,1.3776081671538898
HTI2018_0043,Aire Métropolitaine,Rural,Femme,18-24,21,Non scolarisé,Agriculture/Élevage,1540,Non,Non,Non,Non,Oui,Non,Non,Propriétaire,Aucune source,Oui,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Pas souvent,Aucun contrôle,Oui,Frais de scolarité,Comment épargner,Oui,3.1719,0,Agriculteurs vulnérables,-1.5357361009298445,-1.422354076112325,-0.5542291199489497
HTI2018_0044,Aire Métropolitaine,Urbain,Homme,45-60,45,Secondaire,Commerce informel,3146,Non,Non,Non,Oui,Oui,Non,Non,Habitation avec propriétaire,Connexion individuelle,Oui,Autre formel (non-bancaire),Non,Non,0,Non,Non,Oui,Non,Jamais,Ne sait pas,Oui,Pas assez de revenu,Comment investir,Oui,3.4365,5,Commerçants informels,0.7775912827665009,0.03804331986092968,2.0310166865425283
HTI2018_0045,Grand-Anse,Rural,Femme,35-44,38,Secondaire,Agriculture/Élevage,4365,Non,Non,Non,Oui,Oui,Non,Non,Propriétaire,Aucune source,Oui,Exclus financièrement,Non,Non,0,Non,Non,Non,Non,Souvent,Aucun contrôle,Oui,Frais de scolarité,Comment épargner,Oui,3.3658,0,Agriculteurs vulnérables,-0.6399019197652352,-0.8016320901612695,-0.8685333818156112
HTI2018_0046,Ouest (reste),Urbain,Homme,25-34,29,Primaire,Emploi salarié formel,11207,Oui,Non,Non,Oui,Oui,Oui,Non,Propriétaire,EDH/Connexion collective,Non,Informel seulement,Non,Non,0,Non,Non,Oui,Non,Pas souvent,Contrôle avec d'autres,Oui,Pas assez de revenu,Comment budgétiser,Oui,3.1326,3,Salariés formels,1.3703151276422376,-0.21301569374486837,-0.8159906084628077
HTI2018_0047,Nippes,Rural,Femme,60+,67,Non scolarisé,Sans activité/Ménage,553,Non,Non,Non,Non,Oui,Non,Oui,Copropriétaire,Aucune source,Oui,Informel seulement,Non,Non,0,Non,Oui,Non,Non,Pas souvent,Aucun contrôle,Non,Sans objet,Comment épargner,Oui,2.5425,4,Ménages sans revenus,-0.46165428136904507,2.2483402360607365,-0.9011418856027459
HTI2018_0048,Nord,Urbain,Homme,45-60,57,Non scolarisé,Agriculture/Élevage,1963,Oui,Non,Non,Oui,Oui,Non,Non,Locataire,Connexion illégale,Oui,Exclus financièrement,Non,Non,0,Non,Non,Non,Non,Toujours,Contrôle avec d'autres,Oui,Revenu irrégulier,Comment budgétiser,Oui,3.3402,0,Agriculteurs vulnérables,-1.2956092646835375,-1.1214986878847817,-1.0151889863179278
HTI2018_0049,Nippes,Rural,Homme,60+,76,Non scolarisé,Commerce informel,724,Oui,Non,Non,Oui,Non,Non,Non,Propriétaire,Aucune source,Non,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Jamais,Contrôle total,Oui,Pas assez de revenu,Comment obtenir un prêt,Oui,3.054,5,Commerçants informels,-1.1907809403396625,-1.21577083624392,2.0973153373843316
HTI2018_0050,Sud,Urbain,Homme,35-44,41,Secondaire,Commerce informel,1095,Oui,Non,Oui,Oui,Oui,Non,Non,Propriétaire,Connexion individuelle,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Oui,Non,Jamais,Contrôle total,Oui,Pas assez de revenu,Comment investir,Oui,1.274,5,Commerçants informels,0.519190063798841,0.2850342972595448,2.0196583592116375
HTI2018_0051,Grand-Anse,Rural,Homme,45-60,48,Non scolarisé,Commerce informel,3457,Non,Non,Non,Oui,Oui,Non,Non,Propriétaire,Aucune source,Non,Bancarisé,Oui,Non,0,Non,Non,Non,Non,Souvent,Contrôle avec d'autres,Oui,Pas assez de revenu,Comment investir,Oui,2.6269,5,Commerçants informels,0.8524027390053021,0.06969582436508308,1.1744309364986651
HTI2018_0052,Artibonite,Rural,Femme,15-17,15,Secondaire,Commerce informel,3355,Non,Non,Non,Non,Non,Oui,Non,Propriétaire,Aucune source,Non,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Pas souvent,Contrôle total,Oui,Pas assez de revenu,Comment investir,Oui,1.9284,5,Commerçants informels,-0.13497303825393978,-0.8248490199559171,2.269197491891929
HTI2018_0053,Aire Métropolitaine,Urbain,Homme,60+,77,Secondaire,Commerce informel,2554,Oui,Non,Non,Oui,Non,Non,Non,Locataire,EDH/Connexion collective,Non,Bancarisé,Oui,Non,0,Non,Non,Non,Oui,Jamais,Contrôle total,Oui,Pas assez de revenu,Comment budgétiser,Oui,3.1252,5,Commerçants informels,1.0704327979661064,0.41717667840970457,1.3197277651105652
HTI2018_0054,Ouest (reste),Rural,Femme,35-44,38,Secondaire,Agriculture/Élevage,1329,Non,Non,Non,Oui,Oui,Non,Oui,Propriétaire,EDH/Connexion collective,Oui,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Jamais,Contrôle total,Oui,Pas assez de revenu,Ne sait pas/Aucun besoin,Oui,2.8848,0,Agriculteurs vulnérables,-0.3946226095124931,-0.18358104057504615,-1.216795432204266
HTI2018_0055,Nord,Rural,Femme,25-34,33,Primaire,Commerce informel,3485,Non,Non,Non,Oui,Non,Non,Non,Propriétaire,EDH/Connexion collective,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Oui,Non,Pas souvent,Contrôle avec d'autres,Non,Sans objet,Comment obtenir un prêt,Oui,1.6116,5,Commerçants informels,0.7596199586177728,-0.7909083811296608,1.7931561038809034
HTI2018_0056,Aire Métropolitaine,Urbain,Homme,35-44,40,Secondaire,Commerce informel,408,Oui,Non,Oui,Oui,Oui,Non,Non,Locataire,Connexion illégale,Non,Exclus financièrement,Non,Non,0,Non,Non,Non,Non,Jamais,Aucun contrôle,Oui,Médicaments/Santé,Comment investir,Oui,0.8818,5,Commerçants informels,-0.3889560803353426,0.11678112884196866,1.6636342311448067
HTI2018_0057,Nord,Urbain,Femme,25-34,31,Supérieur/Professionnel,Emploi salarié formel,20959,Oui,Non,Non,Oui,Oui,Oui,Oui,Propriétaire,Connexion individuelle,Non,Bancarisé,Oui,Non,0,Non,Oui,Non,Non,Jamais,Contrôle avec d'autres,Non,Sans objet,Comment épargner,Oui,0.9912,3,Salariés formels,4.142741181927608,1.5058838529995422,-2.250662692340347
HTI2018_0058,Nord-Est,Urbain,Femme,18-24,18,Primaire,Commerce informel,2420,Oui,Non,Non,Oui,Oui,Non,Non,Logement gratuit,Connexion individuelle,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Pas souvent,Contrôle avec d'autres,Oui,Pas assez de revenu,Comment budgétiser,Oui,2.4323,5,Commerçants informels,0.6157096464954686,0.08329612335725721,1.318174140486449
HTI2018_0059,Nord,Urbain,Femme,25-34,28,Secondaire,Sans activité/Ménage,1195,Non,Non,Non,Oui,Oui,Non,Non,Logement gratuit,EDH/Connexion collective,Non,Bancarisé,Oui,Non,0,Non,Non,Oui,Non,Jamais,Contrôle total,Oui,Dépenses imprévues,Comment épargner,Oui,1.9306,4,Ménages sans revenus,-0.5495089322461028,2.3334448834589345,0.3164588972001189
HTI2018_0060,Aire Métropolitaine,Urbain,Femme,35-44,42,Primaire,Agriculture/Élevage,1998,Oui,Oui,Oui,Oui,Oui,Non,Non,Locataire,Connexion individuelle,Oui,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Jamais,Contrôle avec d'autres,Oui,Pas assez de revenu,Comment épargner,Oui,1.2865,0,Agriculteurs vulnérables,-1.3190422889546256,-1.3021121659441768,-0.45587760740621586
HTI2018_0061,Nord-Est,Urbain,Femme,45-60,45,Primaire,Commerce informel,2956,Oui,Non,Non,Non,Oui,Non,Non,Habitation avec propriétaire,EDH/Connexion collective,Non,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Toujours,Contrôle avec d'autres,Oui,Pas assez de revenu,Comment budgétiser,Oui,1.9511,5,Commerçants informels,0.045507929373494155,-0.48272475033598167,2.308774999734405
HTI2018_0062,Artibonite,Urbain,Femme,15-17,17,Secondaire,Artisanat/Production,2584,Oui,Non,Oui,Oui,Non,Non,Oui,Locataire,Connexion illégale,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Jamais,Contrôle total,Non,Sans objet,Ne sait pas/Aucun besoin,Oui,2.2734,2,Artisans,0.5446451275752017,-0.36359016356932344,-0.5859455331827407
HTI2018_0063,Aire Métropolitaine,Rural,Femme,35-44,36,Non scolarisé,Agriculture/Élevage,1353,Oui,Non,Non,Oui,Non,Oui,Non,Propriétaire,Connexion individuelle,Oui,Exclus financièrement,Non,Non,0,Oui,Non,Oui,Oui,Pas souvent,Aucun contrôle,Oui,Revenu irrégulier,Comment obtenir un prêt,Oui,1.7312,0,Agriculteurs vulnérables,-1.722579789241798,-1.6274310222617276,-0.3906602390149351
HTI2018_0066,Aire Métropolitaine,Rural,Femme,45-60,54,Primaire,Services/Transport,3980,Oui,Non,Non,Oui,Oui,Non,Non,Propriétaire,Aucune source,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Oui,Pas souvent,Contrôle total,Oui,Revenu irrégulier,Ne sait pas/Aucun besoin,Oui,1.4239,1,Prestataires de services,0.9610441068406694,0.15327682625526737,-0.5357664543905155
HTI2018_0068,Aire Métropolitaine,Urbain,Femme,25-34,29,Supérieur/Professionnel,Services/Transport,3796,Oui,Oui,Oui,Oui,Oui,Oui,Non,Propriétaire,Connexion illégale,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Souvent,Contrôle avec d'autres,Oui,Pas assez de revenu,Comment budgétiser,Oui,1.8025,1,Prestataires de services,1.2731509205441336,0.5662201111970258,-0.3028282877685265
